Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,name,ID,Index
Q86WN1,Q86WN1;Q86WN1-2,FCSD1_HUMAN,FCHSD1,F-BAR and double SH3 domains protein 1,FCHSD1,Q86WN1,Q86WN1
Q86WR0;Q86WR0-2,Q86WR0;Q86WR0-2,CCD25_HUMAN,CCDC25,Coiled-coil domain-containing protein 25,CCDC25,Q86WR0;Q86WR0-2,Q86WR0;Q86WR0-2
Q86WV1;Q86WV1-2,Q86WV1;Q86WV1-2,SKAP1_HUMAN,SKAP1,Src kinase-associated phosphoprotein 1,SKAP1,Q86WV1;Q86WV1-2,Q86WV1;Q86WV1-2
Q86WV6,Q86WV6,STING_HUMAN,STING1,Stimulator of interferon genes protein,STING1,Q86WV6,Q86WV6
Q86WX3,Q86WX3,AROS_HUMAN,RPS19BP1,Active regulator of SIRT1,RPS19BP1,Q86WX3,Q86WX3
Q86X10-3,Q86X10;Q86X10-2;Q86X10-3;Q86X10-4,RLGPB_HUMAN,RALGAPB,Isoform 3 of Ral GTPase-activating protein subunit beta,RALGAPB,Q86X10-3,Q86X10-3
Q86X10;Q86X10-2;Q86X10-4,Q86X10;Q86X10-2;Q86X10-4,RLGPB_HUMAN,RALGAPB,Ral GTPase-activating protein subunit beta,RALGAPB.1,Q86X10;Q86X10-2;Q86X10-4,Q86X10;Q86X10-2;Q86X10-4
Q86X27;Q86X27-3,Q86X27;Q86X27-2;Q86X27-3,RGPS2_HUMAN,RALGPS2,Ras-specific guanine nucleotide-releasing factor RalGPS2,RALGPS2,Q86X27;Q86X27-3,Q86X27;Q86X27-3
Q86X29;Q86X29-4;Q86X29-5,Q86X29;Q86X29-2;Q86X29-3;Q86X29-4;Q86X29-5;Q86X29-6,LSR_HUMAN,LSR,Lipolysis-stimulated lipoprotein receptor,LSR,Q86X29;Q86X29-4;Q86X29-5,Q86X29;Q86X29-4;Q86X29-5
Q86X55;Q86X55-1,Q86X55;Q86X55-1,CARM1_HUMAN,CARM1,Histone-arginine methyltransferase CARM1,CARM1,Q86X55;Q86X55-1,Q86X55;Q86X55-1
Q86X76;Q86X76-2;Q86X76-4,Q86X76;Q86X76-2;Q86X76-4,NIT1_HUMAN,NIT1,Deaminated glutathione amidase,NIT1,Q86X76;Q86X76-2;Q86X76-4,Q86X76;Q86X76-2;Q86X76-4
Q86XK2;Q86XK2-5;Q86XK2-6,Q86XK2;Q86XK2-5;Q86XK2-6,FBX11_HUMAN,FBXO11,F-box only protein 11,FBXO11,Q86XK2;Q86XK2-5;Q86XK2-6,Q86XK2;Q86XK2-5;Q86XK2-6
Q86XL3,Q86XL3,ANKL2_HUMAN,ANKLE2,Ankyrin repeat and LEM domain-containing protein 2,ANKLE2,Q86XL3,Q86XL3
Q86XN8,Q86XN8;Q86XN8-2;Q86XN8-3,MEX3D_HUMAN,MEX3D,RNA-binding protein MEX3D,MEX3D,Q86XN8,Q86XN8
Q86XP1-3,Q86XP1;Q86XP1-2;Q86XP1-3;Q86XP1-5,DGKH_HUMAN,DGKH,Isoform 3 of Diacylglycerol kinase eta,DGKH,Q86XP1-3,Q86XP1-3
Q86XP3,Q86XP3;Q86XP3-2,DDX42_HUMAN,DDX42,ATP-dependent RNA helicase DDX42,DDX42,Q86XP3,Q86XP3
Q86XR2;Q86XR2-2;Q86XR2-3;Q86XR2-4;Q86XR2-5,Q86XR2;Q86XR2-2;Q86XR2-3;Q86XR2-4;Q86XR2-5,NIBA3_HUMAN,NIBAN3,Protein Niban 3,NIBAN3,Q86XR2;Q86XR2-2;Q86XR2-3;Q86XR2-4;Q86XR2-5,Q86XR2;Q86XR2-2;Q86XR2-3;Q86XR2-4;Q86XR2-5
Q86XR7-2;Q9Y3B3;Q9Y3B3-2,Q9Y3B3;Q86XR7-2;Q9Y3B3-2,TCAM2_HUMAN;TMED7_HUMAN,TICAM2;TMED7,Isoform 2 of TIR domain-containing adapter molecule 2,TICAM2;TMED7,Q86XR7-2;Q9Y3B3;Q9Y3B3-2,Q86XR7-2;Q9Y3B3;Q9Y3B3-2
Q86XZ4,Q86XZ4,SPAS2_HUMAN,SPATS2,Spermatogenesis-associated serine-rich protein 2,SPATS2,Q86XZ4,Q86XZ4
Q86Y07;Q86Y07-2;Q86Y07-5,Q86Y07;Q86Y07-2;Q86Y07-5,VRK2_HUMAN,VRK2,Serine/threonine-protein kinase VRK2,VRK2,Q86Y07;Q86Y07-2;Q86Y07-5,Q86Y07;Q86Y07-2;Q86Y07-5
Q86Y37;Q86Y37-4,Q86Y37;Q86Y37-4,CACL1_HUMAN,CACUL1,CDK2-associated and cullin domain-containing protein 1,CACUL1,Q86Y37;Q86Y37-4,Q86Y37;Q86Y37-4
Q86Y56,Q86Y56;Q86Y56-2,DAAF5_HUMAN,DNAAF5,Dynein axonemal assembly factor 5,DNAAF5,Q86Y56,Q86Y56
Q86Y79,Q86Y79,PTH_HUMAN,PTRH1,Probable peptidyl-tRNA hydrolase,PTRH1,Q86Y79,Q86Y79
Q86Y82,Q86Y82,STX12_HUMAN,STX12,Syntaxin-12,STX12,Q86Y82,Q86Y82
Q86YB7,Q86YB7,ECHD2_HUMAN,ECHDC2,"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial",ECHDC2,Q86YB7,Q86YB7
Q86YH6,Q86YH6,DLP1_HUMAN,PDSS2,All trans-polyprenyl-diphosphate synthase PDSS2,PDSS2,Q86YH6,Q86YH6
Q86YM7,Q86YM7;Q86YM7-2,HOME1_HUMAN,HOMER1,Homer protein homolog 1,HOMER1,Q86YM7,Q86YM7
Q86YP4;Q86YP4-3,Q86YP4;Q86YP4-3;Q86YP4-2,P66A_HUMAN,GATAD2A,Transcriptional repressor p66-alpha,GATAD2A,Q86YP4;Q86YP4-3,Q86YP4;Q86YP4-3
Q86YS6,Q86YS6;Q86YS6-2,RAB43_HUMAN,RAB43,Ras-related protein Rab-43,RAB43,Q86YS6,Q86YS6
Q86YS7;Q86YS7-3,Q86YS7;Q86YS7-2;Q86YS7-3;Q86YS7-4;Q86YS7-5,C2CD5_HUMAN,C2CD5,C2 domain-containing protein 5,C2CD5,Q86YS7;Q86YS7-3,Q86YS7;Q86YS7-3
Q86YT6,Q86YT6,MIB1_HUMAN,MIB1,E3 ubiquitin-protein ligase MIB1,MIB1,Q86YT6,Q86YT6
Q86YV0,Q86YV0;Q86YV0-2,RASL3_HUMAN,RASAL3,RAS protein activator like-3,RASAL3,Q86YV0,Q86YV0
Q86YV5,Q86YV5,PRAG1_HUMAN,PRAG1,Inactive tyrosine-protein kinase PRAG1,PRAG1,Q86YV5,Q86YV5
Q86YV9,Q86YV9,HPS6_HUMAN,HPS6,BLOC-2 complex member HPS6,HPS6,Q86YV9,Q86YV9
Q86YZ3,Q86YZ3,HORN_HUMAN,HRNR,Hornerin,HRNR,Q86YZ3,Q86YZ3
Q8IU81,Q8IU81,I2BP1_HUMAN,IRF2BP1,Interferon regulatory factor 2-binding protein 1,IRF2BP1,Q8IU81,Q8IU81
Q8IU85;Q8IU85-2,Q8IU85;Q8IU85-2,KCC1D_HUMAN,CAMK1D,Calcium/calmodulin-dependent protein kinase type 1D,CAMK1D,Q8IU85;Q8IU85-2,Q8IU85;Q8IU85-2
Q8IUC4,Q8IUC4;Q8IUC4-2,RHPN2_HUMAN,RHPN2,Rhophilin-2,RHPN2,Q8IUC4,Q8IUC4
Q8IUD2;Q8IUD2-2;Q8IUD2-3,Q8IUD2;Q8IUD2-2;Q8IUD2-3;Q8IUD2-4,RB6I2_HUMAN,ERC1,ELKS/Rab6-interacting/CAST family member 1,ERC1,Q8IUD2;Q8IUD2-2;Q8IUD2-3,Q8IUD2;Q8IUD2-2;Q8IUD2-3
Q8IUE6,P16104;Q8IUE6;Q96QV6,H2A2B_HUMAN,H2AC21,Histone H2A type 2-B,H2AC21,Q8IUE6,Q8IUE6
Q8IUF1;Q9BRT8;Q9BRT8-2;Q9BRT8-3,Q5JTY5;Q9BRT8;Q5RIA9;Q4V339;Q8IUF1;Q5JTY5-2;Q5RIA9-3;Q9BRT8-2;Q9BRT8-3,ZNG1A_HUMAN;ZNG1B_HUMAN,ZNG1A;ZNG1B,Zinc-regulated GTPase metalloprotein activator 1B,ZNG1A;ZNG1B,Q8IUF1;Q9BRT8;Q9BRT8-2;Q9BRT8-3,Q8IUF1;Q9BRT8;Q9BRT8-2;Q9BRT8-3
Q8IUF8;Q8IUF8-4,Q8IUF8;Q8IUF8-2;Q8IUF8-4,RIOX2_HUMAN,RIOX2,Ribosomal oxygenase 2,RIOX2,Q8IUF8;Q8IUF8-4,Q8IUF8;Q8IUF8-4
Q8IUH4,Q8IUH4;Q8IUH4-2;Q8IUH4-3,ZDH13_HUMAN,ZDHHC13,Palmitoyltransferase ZDHHC13,ZDHHC13,Q8IUH4,Q8IUH4
Q8IUI8,Q8IUI8,CRLF3_HUMAN,CRLF3,Cytokine receptor-like factor 3,CRLF3,Q8IUI8,Q8IUI8
Q8IUI8-2,Q8IUI8;Q8IUI8-2,CRLF3_HUMAN,CRLF3,Isoform 2 of Cytokine receptor-like factor 3,CRLF3.1,Q8IUI8-2,Q8IUI8-2
Q8IUL8,Q8IUL8,CILP2_HUMAN,CILP2,Cartilage intermediate layer protein 2,CILP2,Q8IUL8,Q8IUL8
Q8IUR6;Q8IUR6-3,Q8IUR6;Q8IUR6-3,CRERF_HUMAN,CREBRF,CREB3 regulatory factor,CREBRF,Q8IUR6;Q8IUR6-3,Q8IUR6;Q8IUR6-3
Q8IUR7;Q8IUR7-2;Q8IUR7-7,Q8IUR7;Q8IUR7-2;Q8IUR7-3;Q8IUR7-6;Q8IUR7-7,ARMC8_HUMAN,ARMC8,Armadillo repeat-containing protein 8,ARMC8,Q8IUR7;Q8IUR7-2;Q8IUR7-7,Q8IUR7;Q8IUR7-2;Q8IUR7-7
Q8IUX4,Q8IUX4,ABC3F_HUMAN,APOBEC3F,DNA dC->dU-editing enzyme APOBEC-3F,APOBEC3F,Q8IUX4,Q8IUX4
Q8IUX7,Q8IUX7;Q8IUX7-2,AEBP1_HUMAN,AEBP1,Adipocyte enhancer-binding protein 1,AEBP1,Q8IUX7,Q8IUX7
Q8IUZ5,Q8IUZ5,AT2L2_HUMAN,PHYKPL,5-phosphohydroxy-L-lysine phospho-lyase,PHYKPL,Q8IUZ5,Q8IUZ5
Q8IV04,Q8IV04;Q8IV04-2,TB10C_HUMAN,TBC1D10C,Carabin,TBC1D10C,Q8IV04,Q8IV04
Q8IV08,Q8IV08,PLD3_HUMAN,PLD3,5'-3' exonuclease PLD3,PLD3,Q8IV08,Q8IV08
Q8IV36;Q8IV36-2,Q8IV36;Q8IV36-2,HID1_HUMAN,HID1,Protein HID1,HID1,Q8IV36;Q8IV36-2,Q8IV36;Q8IV36-2
Q8IV38,Q8IV38,ANKY2_HUMAN,ANKMY2,Ankyrin repeat and MYND domain-containing protein 2,ANKMY2,Q8IV38,Q8IV38
Q8IV50,Q8IV50,LYSM2_HUMAN,LYSMD2,LysM and putative peptidoglycan-binding domain-containing protein 2,LYSMD2,Q8IV50,Q8IV50
Q8IV53;Q8IV53-2,Q8IV53;Q8IV53-2,DEN1C_HUMAN,DENND1C,DENN domain-containing protein 1C,DENND1C,Q8IV53;Q8IV53-2,Q8IV53;Q8IV53-2
Q8IV56,Q8IV56,PRR15_HUMAN,PRR15,Proline-rich protein 15,PRR15,Q8IV56,Q8IV56
Q8IV63;Q8IV63-3,Q8IV63;Q8IV63-2;Q8IV63-3,VRK3_HUMAN,VRK3,Inactive serine/threonine-protein kinase VRK3,VRK3,Q8IV63;Q8IV63-3,Q8IV63;Q8IV63-3
Q8IVD9,Q8IVD9,NUDC3_HUMAN,NUDCD3,NudC domain-containing protein 3,NUDCD3,Q8IVD9,Q8IVD9
Q8IVF2;Q8IVF2-3,Q8IVF2;Q8IVF2-3,AHNK2_HUMAN,AHNAK2,Protein AHNAK2,AHNAK2,Q8IVF2;Q8IVF2-3,Q8IVF2;Q8IVF2-3
Q8IVF7,Q8IVF7;Q96PY5;Q8IVF7-2;Q8IVF7-3;Q96PY5-3,FMNL3_HUMAN,FMNL3,Formin-like protein 3,FMNL3,Q8IVF7,Q8IVF7
Q8IVH2;Q8IVH2-2;Q8IVH2-3,Q8IVH2;Q8IVH2-2;Q8IVH2-3,FOXP4_HUMAN,FOXP4,Forkhead box protein P4,FOXP4,Q8IVH2;Q8IVH2-2;Q8IVH2-3,Q8IVH2;Q8IVH2-2;Q8IVH2-3
Q8IVH4,Q8IVH4,MMAA_HUMAN,MMAA,"Methylmalonic aciduria type A protein, mitochondrial",MMAA,Q8IVH4,Q8IVH4
Q8IVI9;Q8IVI9-4,Q8IVI9;Q8IVI9-2;Q8IVI9-3;Q8IVI9-4,NOSTN_HUMAN,NOSTRIN,Nostrin,NOSTRIN,Q8IVI9;Q8IVI9-4,Q8IVI9;Q8IVI9-4
Q8IVL6,Q8IVL6;Q8IVL6-2,P3H3_HUMAN,P3H3,Prolyl 3-hydroxylase 3,P3H3,Q8IVL6,Q8IVL6
Q8IVM0,Q8IVM0;Q8IVM0-2,CCD50_HUMAN,CCDC50,Coiled-coil domain-containing protein 50,CCDC50,Q8IVM0,Q8IVM0
Q8IVS2,Q8IVS2,FABD_HUMAN,MCAT,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial",MCAT,Q8IVS2,Q8IVS2
Q8IVT2,Q8IVT2,MISP_HUMAN,MISP,Mitotic interactor and substrate of PLK1,MISP,Q8IVT2,Q8IVT2
Q8IVT5;Q8IVT5-2,Q8IVT5;Q8IVT5-2;Q8IVT5-3;Q8IVT5-4,KSR1_HUMAN,KSR1,Kinase suppressor of Ras 1,KSR1,Q8IVT5;Q8IVT5-2,Q8IVT5;Q8IVT5-2
Q8IW19,Q8IW19,APLF_HUMAN,APLF,Aprataxin and PNK-like factor,APLF,Q8IW19,Q8IW19
Q8IW35;Q8IW35-2,Q8IW35;Q8IW35-2,CEP97_HUMAN,CEP97,Centrosomal protein of 97 kDa,CEP97,Q8IW35;Q8IW35-2,Q8IW35;Q8IW35-2
Q8IW45,Q8IW45;Q8IW45-3;Q8IW45-4,NNRD_HUMAN,NAXD,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,NAXD,Q8IW45,Q8IW45
Q8IWB7,Q8IWB7,WDFY1_HUMAN,WDFY1,WD repeat and FYVE domain-containing protein 1,WDFY1,Q8IWB7,Q8IWB7
Q8IWE2,Q8IWE2;Q8IWE2-2,NXP20_HUMAN,FAM114A1,Protein NOXP20,FAM114A1,Q8IWE2,Q8IWE2
Q8IWE5;Q8IWE5-2,Q8IWE5;Q8IWE5-2,PKHM2_HUMAN,PLEKHM2,Pleckstrin homology domain-containing family M member 2,PLEKHM2,Q8IWE5;Q8IWE5-2,Q8IWE5;Q8IWE5-2
Q8IWJ2,Q8IWJ2,GCC2_HUMAN,GCC2,GRIP and coiled-coil domain-containing protein 2,GCC2,Q8IWJ2,Q8IWJ2
Q8IWS0;Q8IWS0-2;Q8IWS0-3;Q8IWS0-4;Q8IWS0-5,Q8IWS0;Q8IWS0-2;Q8IWS0-3;Q8IWS0-4;Q8IWS0-5,PHF6_HUMAN,PHF6,PHD finger protein 6,PHF6,Q8IWS0;Q8IWS0-2;Q8IWS0-3;Q8IWS0-4;Q8IWS0-5,Q8IWS0;Q8IWS0-2;Q8IWS0-3;Q8IWS0-4;Q8IWS0-5
Q8IWT3;Q8IWT3-3,Q14999;Q8IWT3;Q8IWT3-3;Q14999-2,CUL9_HUMAN,CUL9,Cullin-9,CUL9,Q8IWT3;Q8IWT3-3,Q8IWT3;Q8IWT3-3
Q8IWT6,Q8IWT6,LRC8A_HUMAN,LRRC8A,Volume-regulated anion channel subunit LRRC8A,LRRC8A,Q8IWT6,Q8IWT6
Q8IWU6,Q8IWU6,SULF1_HUMAN,SULF1,Extracellular sulfatase Sulf-1,SULF1,Q8IWU6,Q8IWU6
Q8IWV2,Q8IWV2,CNTN4_HUMAN,CNTN4,Contactin-4,CNTN4,Q8IWV2,Q8IWV2
Q8IWV7,Q8IWV7;Q8IWV7-2,UBR1_HUMAN,UBR1,E3 ubiquitin-protein ligase UBR1,UBR1,Q8IWV7,Q8IWV7
Q8IWW6;Q8IWW6-2;Q8IWW6-3;Q8IWW6-4,Q8IWW6;Q8IWW6-2;Q8IWW6-3;Q8IWW6-4,RHG12_HUMAN,ARHGAP12,Rho GTPase-activating protein 12,ARHGAP12,Q8IWW6;Q8IWW6-2;Q8IWW6-3;Q8IWW6-4,Q8IWW6;Q8IWW6-2;Q8IWW6-3;Q8IWW6-4
Q8IWX8,Q8IWX8,CHERP_HUMAN,CHERP,Calcium homeostasis endoplasmic reticulum protein,CHERP,Q8IWX8,Q8IWX8
Q8IWY9;Q8IWY9-1,Q8IWY9;Q8IWY9-1,CDAN1_HUMAN,CDAN1,Codanin-1,CDAN1,Q8IWY9;Q8IWY9-1,Q8IWY9;Q8IWY9-1
Q8IWZ3;Q8IWZ3-4;Q8IWZ3-6,Q8IWZ3;Q8IWZ3-4;Q8IWZ3-6,ANKH1_HUMAN,ANKHD1,Ankyrin repeat and KH domain-containing protein 1,ANKHD1,Q8IWZ3;Q8IWZ3-4;Q8IWZ3-6,Q8IWZ3;Q8IWZ3-4;Q8IWZ3-6
Q8IWZ8,Q8IWZ8;Q8IWZ8-2,SUGP1_HUMAN,SUGP1,SURP and G-patch domain-containing protein 1,SUGP1,Q8IWZ8,Q8IWZ8
Q8IX01;Q8IX01-3;Q8IX01-4,Q8IX01;Q8IX01-3;Q8IX01-4,SUGP2_HUMAN,SUGP2,SURP and G-patch domain-containing protein 2,SUGP2,Q8IX01;Q8IX01-3;Q8IX01-4,Q8IX01;Q8IX01-3;Q8IX01-4
Q8IX04;Q8IX04-6,Q8IX04;Q8IX04-2;Q8IX04-3;Q8IX04-4;Q8IX04-5;Q8IX04-6,UEVLD_HUMAN,UEVLD,Ubiquitin-conjugating enzyme E2 variant 3,UEVLD,Q8IX04;Q8IX04-6,Q8IX04;Q8IX04-6
Q8IX12;Q8IX12-2,Q8IX12;Q8IX12-2,CCAR1_HUMAN,CCAR1,Cell division cycle and apoptosis regulator protein 1,CCAR1,Q8IX12;Q8IX12-2,Q8IX12;Q8IX12-2
Q8IX18;Q8IX18-2;Q8IX18-3;Q8IX18-4,Q8IX18;Q8IX18-2;Q8IX18-3;Q8IX18-4,DHX40_HUMAN,DHX40,Probable ATP-dependent RNA helicase DHX40,DHX40,Q8IX18;Q8IX18-2;Q8IX18-3;Q8IX18-4,Q8IX18;Q8IX18-2;Q8IX18-3;Q8IX18-4
Q8IXB1;Q8IXB1-2,Q8IXB1;Q8IXB1-2,DJC10_HUMAN,DNAJC10,DnaJ homolog subfamily C member 10,DNAJC10,Q8IXB1;Q8IXB1-2,Q8IXB1;Q8IXB1-2
Q8IXB3,Q8IXB3,TARG1_HUMAN,TRARG1,Trafficking regulator of GLUT4 1,TRARG1,Q8IXB3,Q8IXB3
Q8IXH7;Q8IXH7-4,Q8IXH7;Q8IXH7-4,NELFD_HUMAN,NELFCD,Negative elongation factor C/D,NELFCD,Q8IXH7;Q8IXH7-4,Q8IXH7;Q8IXH7-4
Q8IXI1,Q8IXI1,MIRO2_HUMAN,RHOT2,Mitochondrial Rho GTPase 2,RHOT2,Q8IXI1,Q8IXI1
Q8IXI2-3;Q8IXI2-5;Q8IXI2-7,Q8IXI2;Q8IXI2-2;Q8IXI2-3;Q8IXI2-4;Q8IXI2-5;Q8IXI2-6;Q8IXI2-7,MIRO1_HUMAN,RHOT1,Isoform 3 of Mitochondrial Rho GTPase 1,RHOT1,Q8IXI2-3;Q8IXI2-5;Q8IXI2-7,Q8IXI2-3;Q8IXI2-5;Q8IXI2-7
Q8IXJ6;Q8IXJ6-2;Q8IXJ6-3;Q8IXJ6-4,Q8IXJ6;Q8IXJ6-2;Q8IXJ6-3;Q8IXJ6-4,SIR2_HUMAN,SIRT2,NAD-dependent protein deacetylase sirtuin-2,SIRT2,Q8IXJ6;Q8IXJ6-2;Q8IXJ6-3;Q8IXJ6-4,Q8IXJ6;Q8IXJ6-2;Q8IXJ6-3;Q8IXJ6-4
Q8IXK0;Q8IXK0-5,Q8IXK0;Q8IXK0-5;Q8IXK0-2;Q8IXK0-3;Q8IXK0-4,PHC2_HUMAN,PHC2,Polyhomeotic-like protein 2,PHC2,Q8IXK0;Q8IXK0-5,Q8IXK0;Q8IXK0-5
Q8IXL7;Q8IXL7-2,Q8IXL7;Q8IXL7-2,MSRB3_HUMAN,MSRB3,Methionine-R-sulfoxide reductase B3,MSRB3,Q8IXL7;Q8IXL7-2,Q8IXL7;Q8IXL7-2
Q8IXM2;Q8IXM2-3,Q8IXM2;Q8IXM2-3,BAP18_HUMAN,BAP18,Chromatin complexes subunit BAP18,BAP18,Q8IXM2;Q8IXM2-3,Q8IXM2;Q8IXM2-3
Q8IXM3,Q8IXM3,RM41_HUMAN,MRPL41,"39S ribosomal protein L41, mitochondrial",MRPL41,Q8IXM3,Q8IXM3
Q8IXM6;Q8IXM6-2,Q8IXM6;Q8IXM6-2,NRM_HUMAN,NRM,Nurim,NRM,Q8IXM6;Q8IXM6-2,Q8IXM6;Q8IXM6-2
Q8IXQ4,Q8IXQ4;Q8IXQ4-2;Q8IXQ4-3,GPAM1_HUMAN,GPALPP1,GPALPP motifs-containing protein 1,GPALPP1,Q8IXQ4,Q8IXQ4
Q8IXQ6;Q8IXQ6-2;Q8IXQ6-3,Q8IXQ6;Q8IXQ6-2;Q8IXQ6-3,PARP9_HUMAN,PARP9,Protein mono-ADP-ribosyltransferase PARP9,PARP9,Q8IXQ6;Q8IXQ6-2;Q8IXQ6-3,Q8IXQ6;Q8IXQ6-2;Q8IXQ6-3
Q8IXT5,Q8IXT5,RB12B_HUMAN,RBM12B,RNA-binding protein 12B,RBM12B,Q8IXT5,Q8IXT5
Q8IY17;Q8IY17-2;Q8IY17-3,Q8IY17;Q8IY17-2;Q8IY17-3;Q8IY17-5,PLPL6_HUMAN,PNPLA6,Patatin-like phospholipase domain-containing protein 6,PNPLA6,Q8IY17;Q8IY17-2;Q8IY17-3,Q8IY17;Q8IY17-2;Q8IY17-3
Q8IY21,Q8IY21,DDX60_HUMAN,DDX60,Probable ATP-dependent RNA helicase DDX60,DDX60,Q8IY21,Q8IY21
Q8IY22,Q8IY22;Q8IY22-2;Q8IY22-3,CMIP_HUMAN,CMIP,C-Maf-inducing protein,CMIP,Q8IY22,Q8IY22
Q8IY26,Q8IY26,PLPP6_HUMAN,PLPP6,Polyisoprenoid diphosphate/phosphate phosphohydrolase PLPP6,PLPP6,Q8IY26,Q8IY26
Q8IY31;Q8IY31-2;Q8IY31-4,Q8IY31;Q8IY31-2;Q8IY31-4,IFT20_HUMAN,IFT20,Intraflagellar transport protein 20 homolog,IFT20,Q8IY31;Q8IY31-2;Q8IY31-4,Q8IY31;Q8IY31-2;Q8IY31-4
Q8IY33;Q8IY33-5,Q8IY33;Q8IY33-3;Q8IY33-5,MILK2_HUMAN,MICALL2,MICAL-like protein 2,MICALL2,Q8IY33;Q8IY33-5,Q8IY33;Q8IY33-5
Q8IY67-2,Q8IY67;Q8IY67-2,RAVR1_HUMAN,RAVER1,Isoform 2 of Ribonucleoprotein PTB-binding 1,RAVER1,Q8IY67-2,Q8IY67-2
Q8IY81,Q8IY81,SPB1_HUMAN,FTSJ3,pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3,FTSJ3,Q8IY81,Q8IY81
Q8IY95;Q8IY95-2,Q8IY95;Q8IY95-2,TM192_HUMAN,TMEM192,Transmembrane protein 192,TMEM192,Q8IY95;Q8IY95-2,Q8IY95;Q8IY95-2
Q8IYB3;Q8IYB3-2,Q8IYB3;Q8IYB3-2,SRRM1_HUMAN,SRRM1,Serine/arginine repetitive matrix protein 1,SRRM1,Q8IYB3;Q8IYB3-2,Q8IYB3;Q8IYB3-2
Q8IYB4;Q8IYB4-2;Q8IYB4-3;Q8IYB4-4;Q8IYB4-5;Q8IYB4-6,Q8IYB4;Q8IYB4-2;Q8IYB4-3;Q8IYB4-4;Q8IYB4-5;Q8IYB4-6;Q8IYB4-7;Q8IYB4-8,PEX5R_HUMAN,PEX5L,PEX5-related protein,PEX5L,Q8IYB4;Q8IYB4-2;Q8IYB4-3;Q8IYB4-4;Q8IYB4-5;Q8IYB4-6,Q8IYB4;Q8IYB4-2;Q8IYB4-3;Q8IYB4-4;Q8IYB4-5;Q8IYB4-6
Q8IYB5;Q8IYB5-2;Q8IYB5-3,Q8IYB5;Q8IYB5-2;Q8IYB5-3,SMAP1_HUMAN,SMAP1,Stromal membrane-associated protein 1,SMAP1,Q8IYB5;Q8IYB5-2;Q8IYB5-3,Q8IYB5;Q8IYB5-2;Q8IYB5-3
Q8IYB7;Q8IYB7-2;Q8IYB7-3;Q8IYB7-4;Q8IYB7-5,Q8IYB7;Q8IYB7-2;Q8IYB7-3;Q8IYB7-4;Q8IYB7-5,DI3L2_HUMAN,DIS3L2,DIS3-like exonuclease 2,DIS3L2,Q8IYB7;Q8IYB7-2;Q8IYB7-3;Q8IYB7-4;Q8IYB7-5,Q8IYB7;Q8IYB7-2;Q8IYB7-3;Q8IYB7-4;Q8IYB7-5
Q8IYB8,Q8IYB8,SUV3_HUMAN,SUPV3L1,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",SUPV3L1,Q8IYB8,Q8IYB8
Q8IYI6,Q8IYI6,EXOC8_HUMAN,EXOC8,Exocyst complex component 8,EXOC8,Q8IYI6,Q8IYI6
Q8IYJ3;Q8IYJ3-2,Q8IYJ3;Q8IYJ3-2,SYTL1_HUMAN,SYTL1,Synaptotagmin-like protein 1,SYTL1,Q8IYJ3;Q8IYJ3-2,Q8IYJ3;Q8IYJ3-2
Q8IYL3,Q8IYL3,CA174_HUMAN,C1orf174,UPF0688 protein C1orf174,C1orf174,Q8IYL3,Q8IYL3
Q8IYM9;Q8IYM9-2,Q8IYM9;Q8IYM9-2,TRI22_HUMAN,TRIM22,E3 ubiquitin-protein ligase TRIM22,TRIM22,Q8IYM9;Q8IYM9-2,Q8IYM9;Q8IYM9-2
Q8IYQ7,Q8IYQ7,THNS1_HUMAN,THNSL1,Threonine synthase-like 1,THNSL1,Q8IYQ7,Q8IYQ7
Q8IYS1,Q8IYS1,P20D2_HUMAN,PM20D2,Xaa-Arg dipeptidase,PM20D2,Q8IYS1,Q8IYS1
Q8IYS2-2,Q8IYS2;Q8IYS2-2,K2013_HUMAN,KIAA2013,Isoform 2 of Uncharacterized protein KIAA2013,KIAA2013,Q8IYS2-2,Q8IYS2-2
Q8IZ07,Q8IZ07,AN13A_HUMAN,ANKRD13A,Ankyrin repeat domain-containing protein 13A,ANKRD13A,Q8IZ07,Q8IZ07
Q8IZ21;Q8IZ21-2;Q8IZ21-3,Q8IZ21;Q8IZ21-2;Q8IZ21-3,PHAR4_HUMAN,PHACTR4,Phosphatase and actin regulator 4,PHACTR4,Q8IZ21;Q8IZ21-2;Q8IZ21-3,Q8IZ21;Q8IZ21-2;Q8IZ21-3
Q8IZ41,Q8IZ41,RASEF_HUMAN,RASEF,Ras and EF-hand domain-containing protein,RASEF,Q8IZ41,Q8IZ41
Q8IZ52-4,Q8IZ52;Q8IZ52-2;Q8IZ52-4,CHSS2_HUMAN,CHPF,Isoform 3 of Chondroitin sulfate synthase 2,CHPF,Q8IZ52-4,Q8IZ52-4
Q8IZ69,Q8IZ69;Q8IZ69-2,TRM2A_HUMAN,TRMT2A,tRNA (uracil-5-)-methyltransferase homolog A,TRMT2A,Q8IZ69,Q8IZ69
