Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,name,ID,Index
Q9Y394;Q9Y394-2,Q9Y394;Q9Y394-2,DHRS7_HUMAN,DHRS7,Dehydrogenase/reductase SDR family member 7,DHRS7,Q9Y394;Q9Y394-2,Q9Y394;Q9Y394-2
Q9Y399,Q9Y399,RT02_HUMAN,MRPS2,"28S ribosomal protein S2, mitochondrial",MRPS2,Q9Y399,Q9Y399
Q9Y3A4,Q9Y3A4;Q9NSQ0,RRP7A_HUMAN,RRP7A,Ribosomal RNA-processing protein 7 homolog A,RRP7A,Q9Y3A4,Q9Y3A4
Q9Y3A5,Q9Y3A5,SBDS_HUMAN,SBDS,Ribosome maturation protein SBDS,SBDS,Q9Y3A5,Q9Y3A5
Q9Y3A6,Q9Y3A6,TMED5_HUMAN,TMED5,Transmembrane emp24 domain-containing protein 5,TMED5,Q9Y3A6,Q9Y3A6
Q9Y3B2,Q9Y3B2,EXOS1_HUMAN,EXOSC1,Exosome complex component CSL4,EXOSC1,Q9Y3B2,Q9Y3B2
Q9Y3B4,Q9Y3B4,SF3B6_HUMAN,SF3B6,Splicing factor 3B subunit 6,SF3B6,Q9Y3B4,Q9Y3B4
Q9Y3B7,Q9Y3B7;Q9Y3B7-2;Q9Y3B7-3,RM11_HUMAN,MRPL11,"39S ribosomal protein L11, mitochondrial",MRPL11,Q9Y3B7,Q9Y3B7
Q9Y3B8;Q9Y3B8-2;Q9Y3B8-3,Q9Y3B8;Q9Y3B8-3;Q9Y3B8-2,ORN_HUMAN,REXO2,"Oligoribonuclease, mitochondrial",REXO2,Q9Y3B8;Q9Y3B8-2;Q9Y3B8-3,Q9Y3B8;Q9Y3B8-2;Q9Y3B8-3
Q9Y3B9,Q9Y3B9,RRP15_HUMAN,RRP15,RRP15-like protein,RRP15,Q9Y3B9,Q9Y3B9
Q9Y3C0,Q9Y3C0,WASC3_HUMAN,WASHC3,WASH complex subunit 3,WASHC3,Q9Y3C0,Q9Y3C0
Q9Y3C1;Q9Y3C1-2;Q9Y3C1-3,Q9Y3C1;Q9Y3C1-2;Q9Y3C1-3,NOP16_HUMAN,NOP16,Nucleolar protein 16,NOP16,Q9Y3C1;Q9Y3C1-2;Q9Y3C1-3,Q9Y3C1;Q9Y3C1-2;Q9Y3C1-3
Q9Y3C4;Q9Y3C4-3,Q9Y3C4;Q9Y3C4-3,TPRKB_HUMAN,TPRKB,EKC/KEOPS complex subunit TPRKB,TPRKB,Q9Y3C4;Q9Y3C4-3,Q9Y3C4;Q9Y3C4-3
